Buenos Aires (Ciudad);CIUDAD AUTÓNOMA DE BUENOS AIRES
Buenos Aires (Provincia);BUENOS AIRES
Catamarca;CATAMARCA
Chaco;CHACO
Chubut;CHUBUT
Corrientes;CORRIENTES
Córdoba;CÓRDOBA
Entre Ríos;ENTRE RÍOS
Formosa;FORMOSA
Jujuy;JUJUY
La Pampa;LA PAMPA
La Rioja;LA RIOJA
Mendoza;MENDOZA
Misiones;MISIONES
Neuquén;NEUQUÉN
Río Negro;RÍO NEGRO
Salta;SALTA
San Juan;SAN JUAN
San Luis;SAN LUIS
Santa Cruz;SANTA CRUZ
Santa Fe;SANTA FE
Santiago del Estero;SANTIAGO DEL ESTERO
Tierra del Fuego;TIERRA DEL FUEGO
Tucumán;TUCUMÁN
